sample	sample_type.samples
TCGA-KD-A5QT-01A	13
TCGA-B0-5095-01A	6
TCGA-AC-A62Y-01A	1
TCGA-FG-A4MX-01A	20
TCGA-CV-6960-01A	5
TCGA-EL-A3MX-01A	14
TCGA-13-2066-01A	3
TCGA-EM-A3AR-01A	14
TCGA-C5-A1BN-01B	7
TCGA-BB-4225-01A	5
TCGA-HC-7209-01A	9
TCGA-63-A5MJ-01A	4
TCGA-BR-6802-11A	8
TCGA-02-0001-01C	10
TCGA-50-5931-01A	0
TCGA-DD-A115-01A	17
TCGA-A2-A1G4-01A	1
TCGA-AG-3582-01A	30
TCGA-3X-AAVC-01A	33
TCGA-EL-A3ZT-11A	8
TCGA-ET-A39J-01A	14
TCGA-16-1460-01A	10
TCGA-IM-A3U3-01A	14
TCGA-02-0111-01A	10
TCGA-LP-A7HU-01A	7
TCGA-BQ-7053-11A	8
TCGA-55-8621-11A	8
TCGA-D1-A0ZO-01A	2
TCGA-A3-3376-11A	8
TCGA-CR-5249-01A	5
TCGA-GN-A265-06A	18
TCGA-2H-A9GK-11A	8
TCGA-FG-7636-01A	20
TCGA-55-A4DG-01A	0
TCGA-ZP-A9D0-01A	17
TCGA-A3-3358-01A	6
TCGA-L5-A4OF-11A	8
TCGA-DU-A7TG-01A	20
TCGA-AB-2888-11A	8
TCGA-A3-3336-01A	6
TCGA-AR-A5QN-01A	1
TCGA-VQ-A8P3-01A	21
TCGA-55-6971-11A	8
TCGA-YZ-A984-01A	16
TCGA-A3-3385-01A	6
TCGA-G9-6496-01A	9
TCGA-B0-4713-11A	8
TCGA-DX-A8BX-01A	13
TCGA-19-5960-01A	10
TCGA-05-5423-01A	0
TCGA-02-0446-01A	10
TCGA-OR-A5J7-01A	19
TCGA-DU-A6S7-01A	20
TCGA-78-7542-11A	8
TCGA-94-7557-01A	4
TCGA-AR-A0TW-01A	1
TCGA-AP-A0LE-01A	2
TCGA-AB-2905-11A	8
TCGA-B0-5711-11A	8
TCGA-YL-A8SH-01B	9
TCGA-06-0182-01A	10
TCGA-59-2349-11A	8
TCGA-15-1444-01A	10
TCGA-XF-A9T5-01A	12
TCGA-56-8624-01A	4
TCGA-K4-A6FZ-11A	8
TCGA-23-2643-01A	3
TCGA-RD-A7BS-01A	21
TCGA-HZ-7922-01A	11
TCGA-AO-A0J2-01A	1
TCGA-UC-A7PG-11C	8
TCGA-3U-A98D-01A	31
TCGA-A3-3313-11A	8
TCGA-KO-8408-11A	8
TCGA-BP-4327-01A	6
TCGA-29-1776-01A	3
TCGA-V1-A8MU-01A	9
TCGA-A8-A07Z-01A	1
TCGA-AB-2871-03A	26
TCGA-CD-A489-01A	21
TCGA-2Z-A9JD-01A	15
TCGA-50-5946-02A	0
TCGA-B0-5083-11A	8
TCGA-CZ-5982-01A	6
TCGA-DM-A288-01A	24
TCGA-56-5898-01A	4
TCGA-36-2549-01A	3
TCGA-VN-A88O-01A	9
TCGA-FZ-5920-11A	8
TCGA-XF-A8HF-01A	12
TCGA-IR-A3LC-01A	7
TCGA-A3-3359-01A	6
TCGA-D3-A3C6-06A	18
TCGA-BA-A4IG-01A	5
TCGA-B4-5838-01A	6
TCGA-D8-A27V-01A	1
TCGA-IN-A7NR-01A	21
TCGA-24-2281-01A	3
TCGA-43-6770-11A	8
TCGA-B2-3924-01B	6
TCGA-46-3768-01A	4
TCGA-FS-A1ZR-06A	18
TCGA-EM-A1CT-11A	8
TCGA-VD-A8KE-01A	16
TCGA-BQ-7059-11A	8
TCGA-64-1677-01A	0
TCGA-H7-7774-01A	5
TCGA-E2-A10B-01A	1
TCGA-DH-A7US-01A	20
TCGA-14-3477-01A	10
TCGA-4X-A9FB-01A	25
TCGA-BP-4801-01A	6
TCGA-49-4506-01A	0
TCGA-25-2393-01A	3
TCGA-DW-7834-01A	15
TCGA-QQ-A8VD-01A	13
TCGA-FG-5965-02B	20
TCGA-44-7667-01A	0
TCGA-FG-5965-02A	20
TCGA-06-2570-01A	10
TCGA-ZF-AA52-01A	12
TCGA-AB-2829-11B	8
TCGA-A4-8310-01A	15
TCGA-AB-2829-11A	8
TCGA-AB-2864-03D	26
TCGA-DD-A1EH-01A	17
TCGA-DE-A3KN-01A	14
TCGA-AB-2864-03A	26
TCGA-NC-A5HG-01A	4
TCGA-AB-2864-03C	26
TCGA-QT-A5XJ-01A	22
TCGA-CA-5255-01A	24
TCGA-24-1556-01A	3
TCGA-IB-7646-01A	11
TCGA-FS-A1YX-06A	18
TCGA-FY-A3I5-01B	14
TCGA-C8-A26Z-01A	1
TCGA-B6-A0X4-01A	1
TCGA-DJ-A3UP-01A	14
TCGA-J8-A3O2-06A	14
TCGA-FX-A8OO-01A	13
TCGA-DX-AB2O-01A	13
TCGA-86-8073-01A	0
TCGA-V1-A9OX-01A	9
TCGA-E2-A158-11A	8
TCGA-CR-7404-01A	5
TCGA-AB-2941-03A	26
TCGA-BR-6705-01A	21
TCGA-08-0349-11A	8
TCGA-29-1778-01A	3
TCGA-C8-A12Q-01A	1
TCGA-BR-8080-01A	21
TCGA-N8-A4PN-01A	29
TCGA-B0-5694-01A	6
TCGA-17-Z001-11A	8
TCGA-04-1342-11A	8
TCGA-CR-7370-01A	5
TCGA-QR-A702-01A	22
TCGA-HT-7468-01A	20
TCGA-05-4389-01A	0
TCGA-06-A6S0-01A	10
TCGA-ZF-A9R7-01A	12
TCGA-IG-A3YC-01A	28
TCGA-JY-A6FA-01A	28
TCGA-DX-AB32-01A	13
TCGA-YL-A8SJ-01B	9
TCGA-55-8511-11A	8
TCGA-WE-A8JZ-06A	18
TCGA-AA-3542-01A	24
TCGA-P4-A5EA-01A	15
TCGA-28-2513-01A	10
TCGA-2G-AAKO-05A	23
TCGA-HQ-A2OF-01A	12
TCGA-A2-A3XU-01A	1
TCGA-04-1332-01A	3
TCGA-3A-A9IH-01A	11
TCGA-J8-A3O0-01A	14
TCGA-22-5472-01A	4
TCGA-A2-A3XV-01A	1
TCGA-08-0345-01A	10
TCGA-OR-A5K5-01A	19
TCGA-AK-3454-01A	6
TCGA-BS-A0U8-01A	2
TCGA-55-7911-01A	0
TCGA-B0-4712-11A	8
TCGA-BJ-A0YZ-01A	14
TCGA-BP-4797-01A	6
TCGA-2G-AALQ-01A	23
TCGA-96-A4JL-01A	4
TCGA-AB-2819-03A	26
TCGA-AB-2819-03B	26
TCGA-XU-A933-01A	25
TCGA-DB-A64O-01A	20
TCGA-29-2432-01A	3
TCGA-AB-2827-11B	8
TCGA-AB-2827-11C	8
TCGA-08-0353-11A	8
TCGA-EJ-A46D-01A	9
TCGA-12-0653-01A	10
TCGA-12-0653-01B	10
TCGA-41-4097-01A	10
TCGA-HC-7820-01A	9
TCGA-KH-A6WC-01A	28
TCGA-CJ-4905-01A	6
TCGA-HW-7487-01A	20
TCGA-ZG-A9KY-01A	9
TCGA-E9-A22H-01A	1
TCGA-CH-5763-01A	9
TCGA-29-2435-01A	3
TCGA-DB-5270-01A	20
TCGA-66-2737-11A	8
TCGA-BP-4803-11A	8
TCGA-05-4420-01A	0
TCGA-AA-3854-01A	24
TCGA-HT-7858-01A	20
TCGA-D1-A0ZP-01A	2
TCGA-YL-A8HM-01A	9
TCGA-D3-A2JO-06A	18
TCGA-HT-A61A-01A	20
TCGA-66-2781-01A	4
TCGA-DM-A28E-01A	24
TCGA-13-0768-01A	3
TCGA-B0-5693-01A	6
TCGA-GU-A42P-01A	12
TCGA-EK-A2IR-01A	7
TCGA-29-1707-02A	3
TCGA-CV-6951-11A	8
TCGA-61-2101-01A	3
TCGA-WC-A881-01A	16
TCGA-UW-A7GX-11A	8
TCGA-A5-A2K4-01A	2
TCGA-FD-A43P-01A	12
TCGA-AB-2998-11A	8
TCGA-CJ-4869-01A	6
TCGA-CW-6093-01A	6
TCGA-19-2624-01A	10
TCGA-A5-A2K7-01A	2
TCGA-DD-AACI-01A	17
TCGA-CJ-4895-11A	8
TCGA-XU-AAXY-01A	25
TCGA-PG-A914-01A	2
TCGA-XD-AAUH-01A	11
TCGA-60-2712-01A	4
TCGA-17-Z043-01A	0
TCGA-BP-5186-01A	6
TCGA-C8-A132-01A	1
TCGA-A5-A0G5-01A	2
TCGA-G9-6385-11A	8
TCGA-CK-6748-01A	24
TCGA-ED-A7PX-01A	17
TCGA-13-0906-01A	3
TCGA-CV-6935-11A	8
TCGA-AZ-6603-01A	24
TCGA-EE-A17Y-06A	18
TCGA-P5-A5ET-01A	20
TCGA-39-5035-01A	4
TCGA-61-2613-11A	8
TCGA-FV-A3I1-01A	17
TCGA-A7-A26I-01B	1
TCGA-61-2109-11A	8
TCGA-AB-2813-11B	8
TCGA-61-2111-01A	3
TCGA-CR-7372-01A	5
TCGA-HC-A48F-01A	9
TCGA-AX-A05U-01A	2
TCGA-17-Z040-01A	0
TCGA-CJ-4871-11A	8
TCGA-BI-A20A-01A	7
TCGA-WZ-A7V5-01A	23
TCGA-BH-A0H0-01A	1
TCGA-AG-3584-01A	30
TCGA-ET-A3DU-01A	14
TCGA-D6-6826-01A	5
TCGA-FL-A1YL-11A	8
TCGA-A6-6781-01B	24
TCGA-08-0346-01A	10
TCGA-A6-6781-01A	24
TCGA-RW-A685-01A	22
TCGA-B0-4843-01A	6
TCGA-DD-A1EA-01A	17
TCGA-2G-AAFN-01A	23
TCGA-32-1979-01A	10
TCGA-38-4629-01A	0
TCGA-NJ-A55A-01A	0
TCGA-AY-6197-01A	24
TCGA-BP-4160-01A	6
TCGA-CJ-4918-11A	8
TCGA-2A-A8VX-01A	9
TCGA-EM-A1YA-01A	14
TCGA-DX-A48P-01A	13
TCGA-EU-5904-01A	6
TCGA-J2-8194-11A	8
TCGA-BH-A0W4-01A	1
TCGA-BT-A20P-11A	8
TCGA-FS-A1ZS-06A	18
TCGA-G4-6304-01A	24
TCGA-BR-4279-11A	8
TCGA-50-6594-11A	8
TCGA-ET-A3DQ-01A	14
TCGA-06-0644-01A	10
TCGA-06-6389-01A	10
TCGA-AF-3914-01A	30
TCGA-20-1686-01A	3
TCGA-KK-A7B2-01A	9
TCGA-BA-5149-01A	5
TCGA-BH-A1ES-01A	1
TCGA-18-3412-11A	8
TCGA-CZ-5987-01A	6
TCGA-B9-A5W7-01A	15
TCGA-BP-5185-01A	6
TCGA-25-2399-01A	3
TCGA-AY-4070-01A	24
TCGA-06-0178-01A	10
TCGA-BJ-A290-01A	14
TCGA-A5-A0VP-01A	2
TCGA-MS-A51U-01A	1
TCGA-59-2354-01A	3
TCGA-R5-A804-01A	21
TCGA-V1-A8MG-01A	9
TCGA-66-2744-11A	8
TCGA-2G-AAM4-01A	23
TCGA-DD-A73F-01A	17
TCGA-GR-7351-01A	32
TCGA-A1-A0SO-01A	1
TCGA-22-1012-01A	4
TCGA-37-5819-01A	4
TCGA-DJ-A3VL-01A	14
TCGA-75-7027-01A	0
TCGA-32-5222-01A	10
TCGA-13-0717-01A	3
TCGA-BF-AAP0-06A	18
TCGA-WB-A820-01A	22
TCGA-BJ-A28X-01A	14
TCGA-2G-AAFM-01A	23
TCGA-02-0006-01B	10
TCGA-BR-8365-01A	21
TCGA-G4-6307-01A	24
TCGA-GR-A4D6-01A	32
TCGA-D3-A8GN-06A	18
TCGA-G3-A25X-11A	8
TCGA-A6-6649-01A	24
TCGA-D1-A17L-01A	2
TCGA-EI-6510-01A	30
TCGA-BR-8678-01A	21
TCGA-HB-A43Z-01A	13
TCGA-DX-A6BF-01A	13
TCGA-BQ-5883-01A	15
TCGA-WK-A8XZ-01A	13
TCGA-24-1428-01A	3
TCGA-AB-2813-03B	26
TCGA-61-2094-01A	3
TCGA-ET-A3BQ-01B	14
TCGA-23-1021-01B	3
TCGA-EW-A6SA-01A	1
TCGA-44-7669-11A	8
TCGA-CG-5734-01A	21
TCGA-AA-3663-11A	8
TCGA-VQ-A924-01A	21
TCGA-HC-A9TE-01A	9
TCGA-2H-A9GH-01A	28
TCGA-50-5936-11A	8
TCGA-B0-5712-01A	6
TCGA-61-1737-01A	3
TCGA-44-A47G-01A	0
TCGA-KK-A7B1-01A	9
TCGA-OR-A5L2-01A	19
TCGA-E2-A1LH-11A	8
TCGA-44-6778-01A	0
TCGA-FX-A2QS-01A	13
TCGA-ZX-AA5X-01A	7
TCGA-BP-5190-01A	6
TCGA-BG-A18A-01A	2
TCGA-G4-6314-01A	24
TCGA-QG-A5Z2-01A	24
TCGA-14-0865-01B	10
TCGA-EL-A3CT-01A	14
TCGA-2Y-A9H5-01A	17
TCGA-MP-A4TJ-01A	0
TCGA-KK-A6E5-01A	9
TCGA-FD-A3B8-01A	12
TCGA-B0-5116-11A	8
TCGA-BR-4292-01A	21
TCGA-BR-4367-01A	21
TCGA-DU-6403-01A	20
TCGA-A8-A079-01A	1
TCGA-78-7163-11A	8
TCGA-C5-A1BM-01A	7
TCGA-B0-4822-01A	6
TCGA-33-4589-11A	8
TCGA-BR-4368-11A	8
TCGA-22-1017-11A	8
TCGA-B6-A0IH-01A	1
TCGA-EA-A3HU-01A	7
TCGA-DX-A48J-01A	13
TCGA-AB-2805-11B	8
TCGA-AB-2805-11C	8
TCGA-CF-A3MH-01A	12
TCGA-A7-A0CE-01A	1
TCGA-D1-A1O8-01A	2
TCGA-E9-A1RI-11A	8
TCGA-OR-A5JD-01A	19
TCGA-85-8354-01A	4
TCGA-AO-A03L-01A	1
TCGA-AA-3811-01A	24
TCGA-04-1356-11A	8
TCGA-AB-2825-11A	8
TCGA-D1-A1NW-01A	2
TCGA-2Z-A9JO-01A	15
TCGA-B6-A1KC-01A	1
TCGA-AP-A054-01A	2
TCGA-B6-A1KC-01B	1
TCGA-FD-A3SS-01A	12
TCGA-V4-A9F8-01A	16
TCGA-EI-6884-01A	30
TCGA-CJ-5672-11A	8
TCGA-D1-A1NX-01A	2
TCGA-B6-A0X5-01A	1
TCGA-DB-A4XA-01A	20
TCGA-EE-A2GI-06A	18
TCGA-AA-3675-01A	24
TCGA-51-4080-11A	8
TCGA-DX-AB2H-01A	13
TCGA-GD-A3OP-11A	8
TCGA-FF-A7CQ-01A	32
TCGA-08-0529-01A	10
TCGA-QR-A70G-01B	22
TCGA-AB-2865-03A	26
TCGA-CD-A4MI-01A	21
TCGA-FU-A3YQ-01A	7
TCGA-A2-A0D0-01A	1
TCGA-AB-2865-03C	26
TCGA-F1-6875-01A	21
TCGA-61-1995-01A	3
TCGA-18-3415-11A	8
TCGA-J4-A83K-01A	9
TCGA-CJ-5683-01A	6
TCGA-XF-A9SY-01A	12
TCGA-AR-A1AY-01A	1
TCGA-WY-A859-01A	20
TCGA-DM-A1D8-01A	24
TCGA-EI-7002-01A	30
TCGA-B0-5096-01A	6
TCGA-90-A59Q-01A	4
TCGA-ZF-A9RF-01A	12
TCGA-AB-2847-11D	8
TCGA-85-A53L-01A	4
TCGA-E6-A1LZ-01A	2
TCGA-BP-4998-01A	6
TCGA-2Y-A9GY-01A	17
TCGA-YU-A90Y-01A	23
TCGA-S3-A6ZG-01A	1
TCGA-78-7166-01A	0
TCGA-BR-A44U-01A	21
TCGA-DX-AB3A-01A	13
TCGA-CG-5730-11A	8
TCGA-ET-A2N5-11B	8
TCGA-06-0142-01A	10
TCGA-BP-4174-11A	8
TCGA-CN-A6V6-01A	5
TCGA-06-0122-01A	10
TCGA-AA-3555-01A	24
TCGA-BH-A0E7-01A	1
TCGA-SR-A6MR-01A	22
TCGA-02-2470-01A	10
TCGA-SR-A6MT-01A	22
TCGA-08-0355-01A	10
TCGA-55-8087-01A	0
TCGA-BB-7872-01A	5
TCGA-18-5595-01A	4
TCGA-DU-7015-01A	20
TCGA-NC-A5HD-01A	4
TCGA-B0-5075-11A	8
TCGA-18-3419-01A	4
TCGA-BP-5000-11A	8
TCGA-49-4487-11A	8
TCGA-ZB-A96B-01A	25
TCGA-ZF-A9R4-01A	12
TCGA-AB-2840-11D	8
TCGA-EM-A3FN-01A	14
TCGA-AP-A1DP-01A	2
TCGA-AB-2840-11A	8
TCGA-ZT-A8OM-01A	25
TCGA-AB-2840-11C	8
TCGA-AB-2840-11B	8
TCGA-DK-A6B2-01A	12
TCGA-EE-A29L-06A	18
TCGA-GU-A762-01A	12
TCGA-2G-AAGC-01A	23
TCGA-17-Z046-01A	0
TCGA-DZ-6132-11A	8
TCGA-Q9-A6FW-01A	28
TCGA-CZ-5457-01A	6
TCGA-HW-7489-01A	20
TCGA-HT-8015-01B	20
TCGA-BA-4074-01A	5
TCGA-KN-8430-11A	8
TCGA-B0-5077-01A	6
TCGA-D1-A1O7-01A	2
TCGA-CV-7177-11A	8
TCGA-BD-A3EP-11A	8
TCGA-25-1329-01A	3
TCGA-DK-AA76-01A	12
TCGA-86-8669-01A	0
TCGA-YL-A8SK-01B	9
TCGA-BP-4352-11A	8
TCGA-DX-A6YX-01A	13
TCGA-KL-8331-11A	8
TCGA-DX-AB3B-01A	13
TCGA-57-1993-11A	8
TCGA-DD-AACU-01A	17
TCGA-E3-A3E3-01A	14
TCGA-A5-A3LO-01A	2
TCGA-91-6835-11A	8
TCGA-M7-A71Z-01A	9
TCGA-D8-A27R-01A	1
TCGA-BC-A10X-01A	17
TCGA-B5-A11V-01A	2
TCGA-TM-A84C-01A	20
TCGA-2A-A8W1-01A	9
TCGA-NC-A5HQ-01A	4
TCGA-ES-A2HS-01A	17
TCGA-D3-A1Q1-06A	18
TCGA-EC-A1NJ-01A	2
TCGA-AY-A69D-01A	24
TCGA-DJ-A3UO-01A	14
TCGA-D3-A2JD-06A	18
TCGA-XE-AANI-01A	23
TCGA-IB-A5SO-01A	11
TCGA-E7-A678-01A	12
TCGA-EE-A3J3-06A	18
TCGA-AG-3598-01A	30
TCGA-GI-A2C9-01A	1
TCGA-DX-A7EM-01A	13
TCGA-13-0727-01A	3
TCGA-DI-A1NO-01A	2
TCGA-DM-A28F-01A	24
TCGA-2G-AALS-01A	23
TCGA-26-6173-01A	10
TCGA-97-A4M3-01A	0
TCGA-DQ-7595-01A	5
TCGA-22-4604-01A	4
TCGA-90-7964-01A	4
TCGA-BP-4977-11A	8
TCGA-60-2716-01A	4
TCGA-44-2659-01A	0
TCGA-BJ-A45H-01A	14
TCGA-DU-6401-01A	20
TCGA-BR-6456-11A	8
TCGA-06-0154-01A	10
TCGA-BH-A1FJ-11B	8
TCGA-X4-A8KQ-01A	9
TCGA-CQ-6218-01A	5
TCGA-KN-8426-11A	8
TCGA-ER-A2NC-06A	18
TCGA-02-0333-01A	10
TCGA-AB-2901-11A	8
TCGA-DJ-A13R-01A	14
TCGA-XF-A9SM-01A	12
TCGA-BR-8366-01A	21
TCGA-BQ-5892-11A	8
TCGA-D3-A2J8-06A	18
TCGA-36-1569-01A	3
TCGA-B7-A5TK-01A	21
TCGA-55-7725-01A	0
TCGA-EJ-7331-11A	8
TCGA-49-AAQV-11A	8
TCGA-DQ-7596-01A	5
TCGA-96-A4JK-01A	4
TCGA-DD-AAEG-01A	17
TCGA-DD-A4NP-01A	17
TCGA-E2-A14W-01A	1
TCGA-58-8391-01A	4
TCGA-EJ-5521-01A	9
TCGA-XY-A8S2-01A	23
TCGA-05-4244-01A	0
TCGA-2G-AAGN-01A	23
TCGA-FF-8047-01A	32
TCGA-55-A493-01A	0
TCGA-CQ-5332-01A	5
TCGA-X6-A7WC-01A	13
TCGA-KK-A59Z-01A	9
TCGA-AB-2978-03A	26
TCGA-RG-A7D4-01A	17
TCGA-OR-A5JA-01A	19
TCGA-28-5209-01A	10
TCGA-DJ-A2PT-01A	14
TCGA-AB-2864-11D	8
TCGA-HZ-7289-01A	11
TCGA-V4-A9EE-01A	16
TCGA-HT-A618-01A	20
TCGA-CJ-4872-01A	6
TCGA-AC-A2B8-01A	1
TCGA-DK-A2I1-01A	12
TCGA-06-1086-01A	10
TCGA-UD-AAC6-01A	31
TCGA-77-8138-01A	4
TCGA-2G-AAFJ-01A	23
TCGA-BR-8362-01A	21
TCGA-A6-6782-01A	24
TCGA-FL-A1YQ-11A	8
TCGA-KK-A7AQ-11A	8
TCGA-43-7658-01A	4
TCGA-EO-A22Y-01A	2
TCGA-14-1829-01A	10
TCGA-EJ-A6RA-01A	9
TCGA-EK-A2RC-01A	7
TCGA-22-4607-01A	4
TCGA-DS-A1OD-01A	7
TCGA-NI-A4U2-01A	17
TCGA-06-0137-01B	10
TCGA-FS-A1Z3-06A	18
TCGA-EJ-A46H-01A	9
TCGA-G7-6792-01A	15
TCGA-12-0820-01A	10
TCGA-BJ-A45I-11A	8
TCGA-D7-8575-01A	21
TCGA-12-1096-01A	10
TCGA-86-8075-01A	0
TCGA-AJ-A5DV-01A	2
TCGA-AB-2965-11A	8
TCGA-BP-4782-11A	8
TCGA-D5-6541-01A	24
TCGA-BP-5181-01A	6
TCGA-BP-4177-01A	6
TCGA-AA-3858-01A	24
TCGA-39-5029-01A	4
TCGA-C5-A2LV-01A	7
TCGA-13-1407-01A	3
TCGA-BH-A204-11A	8
TCGA-D6-A6EQ-01A	5
TCGA-CK-6746-01A	24
TCGA-2G-AAHP-05A	23
TCGA-DD-AACN-01A	17
TCGA-13-A5FU-01A	3
TCGA-AG-3732-11A	8
TCGA-AB-2814-11B	8
TCGA-L7-A56G-01A	28
TCGA-77-A5G6-01A	4
TCGA-DK-A2HX-01A	12
TCGA-21-5786-01A	4
TCGA-KK-A8I7-01A	9
TCGA-A2-A0CO-01A	1
TCGA-AB-2915-03A	26
TCGA-EJ-5542-01A	9
TCGA-CG-4437-01A	21
TCGA-AB-2814-11A	8
TCGA-A7-A2KD-01A	1
TCGA-A3-A6NL-01A	6
TCGA-EJ-7784-11A	8
TCGA-A2-A0CL-01A	1
TCGA-B6-A0IO-01A	1
TCGA-04-1648-01A	3
TCGA-60-2726-01A	4
TCGA-IB-A7LX-01A	11
TCGA-37-3789-01A	4
TCGA-13-0916-01A	3
TCGA-AC-A2BM-01A	1
TCGA-3B-A9HL-01A	13
TCGA-FV-A3R2-01A	17
TCGA-AR-A2LH-01A	1
TCGA-CN-5355-01A	5
TCGA-D5-6538-01A	24
TCGA-FG-6692-01A	20
TCGA-25-2404-01A	3
TCGA-66-2753-11A	8
TCGA-D5-5540-01A	24
TCGA-78-7148-01A	0
TCGA-AB-2990-03A	26
TCGA-AB-2990-03B	26
TCGA-CG-5719-01A	21
TCGA-P5-A5EX-01A	20
TCGA-23-2077-01A	3
TCGA-OR-A5KT-01A	19
TCGA-61-2113-01A	3
TCGA-24-1471-01A	3
TCGA-DU-A76R-01A	20
TCGA-BJ-A0Z5-01A	14
TCGA-CC-A7IH-01A	17
TCGA-B5-A11N-01A	2
TCGA-IZ-8195-01A	15
TCGA-86-7711-01A	0
TCGA-ER-A42H-01A	18
TCGA-GV-A3JX-01A	12
TCGA-FS-A4F2-06A	18
TCGA-A3-A8OU-01A	6
TCGA-66-2793-01A	4
TCGA-AN-A03Y-01A	1
TCGA-CN-A499-01A	5
TCGA-ER-A198-06A	18
TCGA-04-1371-01A	3
TCGA-ZF-A9R5-01A	12
TCGA-D7-6815-01A	21
TCGA-QR-A6ZZ-01A	22
TCGA-12-0615-01A	10
TCGA-E2-A153-01A	1
TCGA-2F-A9KT-01A	12
TCGA-LQ-A4E4-01A	1
TCGA-KO-8405-11A	8
TCGA-39-5016-11A	8
TCGA-EJ-7125-11A	8
TCGA-38-4625-01A	0
TCGA-CJ-6031-01A	6
TCGA-AB-2821-03A	26
TCGA-AB-2821-03C	26
TCGA-F4-6807-01A	24
TCGA-RC-A7SH-01A	17
TCGA-2G-AALY-01A	23
TCGA-DK-A3IL-01A	12
TCGA-P8-A6RY-01A	22
TCGA-61-1900-01A	3
TCGA-OR-A5JG-01A	19
TCGA-AF-2693-01A	30
TCGA-EW-A1J2-01A	1
TCGA-BH-A0DK-01A	1
TCGA-17-Z055-11A	8
TCGA-17-Z037-01A	0
TCGA-FB-A4P5-01A	11
TCGA-24-1431-01A	3
TCGA-81-5911-01A	10
TCGA-VS-A950-01A	7
TCGA-BR-A44T-01A	21
TCGA-23-1114-01B	3
TCGA-CV-7089-01A	5
TCGA-EM-A3AQ-01A	14
TCGA-14-0740-01B	10
TCGA-DD-AAVW-01A	17
TCGA-24-1550-01A	3
TCGA-B0-4821-01A	6
TCGA-W2-A7H7-01A	22
TCGA-DZ-6131-01A	15
TCGA-E1-A7YN-01A	20
TCGA-K1-A6RT-01A	13
TCGA-FI-A2D2-01A	2
TCGA-HT-7606-01A	20
TCGA-AP-A0L9-01A	2
TCGA-14-1459-01A	10
TCGA-5U-AB0E-01A	25
TCGA-E1-A7Z2-01A	20
TCGA-AF-6672-01A	30
TCGA-EL-A3T8-11A	8
TCGA-44-7662-01A	0
TCGA-D1-A17K-01A	2
TCGA-DY-A0XA-01A	30
TCGA-NJ-A4YF-01A	0
TCGA-2G-AALN-01A	23
TCGA-VR-A8EQ-01A	28
TCGA-W5-AA36-01A	33
TCGA-24-1430-01A	3
TCGA-27-1834-01A	10
TCGA-A3-3326-01A	6
TCGA-QA-A7B7-01A	17
TCGA-AX-A2IN-01A	2
TCGA-16-0849-01A	10
TCGA-97-A4LX-01A	0
TCGA-BH-A0DE-11A	8
TCGA-61-2096-01A	3
TCGA-B9-4113-11A	8
TCGA-23-1123-01A	3
TCGA-09-2054-01A	3
TCGA-BR-A4IY-01A	21
TCGA-F7-A61V-01A	5
TCGA-R6-A8W8-01B	28
TCGA-HU-8608-01A	21
TCGA-E7-A677-01A	12
TCGA-AP-A0LP-01A	2
TCGA-DB-5278-01A	20
TCGA-77-8007-01A	4
TCGA-CV-6937-01A	5
TCGA-KO-8417-01A	27
TCGA-D1-A16V-01A	2
TCGA-KM-A7QC-01C	27
TCGA-AA-A00O-01A	24
TCGA-A5-A1OK-01A	2
TCGA-50-5051-01A	0
TCGA-AA-3812-01A	24
TCGA-13-0920-01A	3
TCGA-24-1466-01A	3
TCGA-CK-4952-01A	24
TCGA-EL-A3CM-01A	14
TCGA-CV-7418-01A	5
TCGA-EI-6882-01A	30
TCGA-BH-A0E2-01A	1
TCGA-AG-3882-01A	30
TCGA-D3-A51N-06A	18
TCGA-DX-A48U-01A	13
TCGA-VS-A9V2-01A	7
TCGA-AA-3502-11A	8
TCGA-CN-6013-01A	5
TCGA-D8-A142-01A	1
TCGA-FW-A5DY-06A	18
TCGA-2Y-A9H1-01A	17
TCGA-G3-A3CJ-01A	17
TCGA-CJ-6033-11A	8
TCGA-DX-A48V-01A	13
TCGA-E8-A2JQ-11A	8
TCGA-55-8614-01A	0
TCGA-QG-A5YX-01A	24
TCGA-76-4934-01A	10
TCGA-B0-4816-01A	6
TCGA-13-2061-01A	3
TCGA-RW-A68G-01A	22
TCGA-OR-A5LF-01A	19
TCGA-27-1837-01A	10
TCGA-E9-A1RH-11A	8
TCGA-ET-A39P-01A	14
TCGA-RM-A68W-01A	22
TCGA-AA-A00D-01A	24
TCGA-FD-A3SO-01A	12
TCGA-BP-5007-01A	6
TCGA-OR-A5J3-01A	19
TCGA-AQ-A1H3-01A	1
TCGA-BF-A5EP-01A	18
TCGA-FD-A3SQ-01A	12
TCGA-EE-A2GP-06A	18
TCGA-4G-AAZO-01A	33
TCGA-AG-A026-01A	30
TCGA-55-6978-01A	0
TCGA-EE-A2MT-06A	18
TCGA-06-0174-01A	10
TCGA-EP-A12J-11A	8
TCGA-23-1031-01A	3
TCGA-KK-A7B4-01A	9
TCGA-EL-A3ZH-01A	14
TCGA-44-6146-11A	8
TCGA-AO-A0JM-01A	1
TCGA-AO-A0JF-01A	1
TCGA-06-A7TL-01A	10
TCGA-D8-A1JS-01A	1
TCGA-E7-A85H-01A	12
TCGA-AR-A0U2-01A	1
TCGA-AB-2922-03A	26
TCGA-A3-3351-11A	8
TCGA-CG-4301-01A	21
TCGA-13-1484-01A	3
